Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Correcta (1-4)
¿Qué tipo de proyecto es la película «El caballero oscuro»?;Multimedia;Crossmedia;Transmedia;Multiplataforma;2
¿Cuál es la forma de aprendizaje, donde el alumno adquiere sus conocimientos por la comunicación entre pares?;Aprender interactuando;Aprender compartiendo;Aprender haciendo;Aprender buscando;1
Señala un ejemplo de narrativa transmedia;Siempre a tu lado;Supermán;Kingsman;El Rey Arturo;2
Una historia en distintas plataformas;Transmedia;Crossmedia;Multimedia;Multiplataforma;4
¿Qué faceta evalúa las competencias y valores desarrollados por un relato?;Didáctica;Digital;Narrativa;Creativa;1
Presenta la característica de que el usuario participa y produce de forma activa;Crossmedia;Transmedia;Multiplataforma;Multimedia;2
Señala qué dimensión de la Web 2.0 se ha convertido en un espacio público de interacción;Redes sociales;Entornos virtuales;Biblioteca universal;Mercado global;1
¿Cuál es la herramienta utilizada en el aula para desarrollar un «digital storytelling» que está relacionada con las narraciones de variada temática?;Historias informativas;Narrativas informativas;Narrativas personales;Historias de eventos históricos;1
Forma de aprendizaje en el que los estudiantes intercambian experiencias a través de vídeos educativos;Aprender compartiendo;Aprender buscando;Aprender haciendo;Aprender interactuando;1
¿De dónde son característicos los universos expandidos?;Plataforma web;Multimedia;Multiplataforma;Crossmedia;4
¿Qué actividad 2.0 permite construir conocimiento, opiniones y reflexiones?;Redes Sociales;Google maps;Blog;RSS;3
¿Qué fenómeno permite conectar los ordenadores de los usuarios de forma directa?;Tag;Hosting;Napster;Peer-topeer;3
¿Por qué se caracteriza la narrativa transmedia?;Narrativa lineal;Contenido estático;Modalidad on-line;Sociedad participativa;4
¿Qué es la Web 2.0?;Programa informático;Entorno de estático;Softaware social;Modelo narrativo;3
¿En qué parte del relato el personaje se ve expuesto a una serie de pruebas, aplicando los conocimientos de aprendizaje adquirido?;Iniciación;Separación;Retorno;Contexto;1
¿Cuál es la nueva estructura de un relato digital según Campbell?;Inicio, nudo y desenlace;Separación, crisis y retorno;Contexto, crisis, cambio y conclusión;Separación, iniciación y retorno;4
¿A qué marco pertenece la construcción de infraestructuras, metodología de dispositivos y gestión de usuarios en la biblia transmedia?;Tratamiento;Especificaciones de diseño;Marketing;Especificaciones tecnológicas;4
¿Qué es la biblia transmedia?;Catálogo de instrucciones para crear un proyecto transmedia;Documento que atestigua que el producto es transmedia;Libro de estilo que determina cómo realizar un correcto proyecto transmedia;Catálogo de instrucciones, determinando los parámetros narrativos y de producción;4
¿Qué define los soportes utilizados en la biblia transmedia?;Guiones;Plataformas y canales;Visión general del servicio;Formulario multiplataforma;4
¿Con qué tipo de soporte podemos grabar y emitir entrevistas y testimonios?;Vídeos;Podcast;Juegos;Apps;2
¿Quién señala que la narrativa transmedia es el arte de construir universos?;Lambert;Bakioglu;Dena;Ferrarelli;2
¿Qué tipo de transmedia actúa como gancho para captar al consumidor?;Transmedia intercomposicionales;Transmedia ultracomposicionales;Transmedia intracomposicionales;Transmedia extracomposicionales;1
¿Cuál es el mayor inconveniente de la narrativa transmedia?;No existen delimitaciones técnicas para la producción de las narraciones;Creatividad para la construcción de historias;Insuficiente competencia mediática;Factores muy explotados;3
¿En qué consiste la serialidad según Jenkins?;Coherencia y la credibilidad de los universos desarrollados;Habilidad y compromiso de los espectadores por transmitir y difundir los contenidos;Creación de fragmentos significativos de una historia para ser emitido a través de diferentes entregas;Búsqueda de información sobre el universo y las posibles extensiones;3
¿Qué soporte favorece a la comprensión del alumnado por sus aspectos visuales?;Cómic digital;Videojuegos;Redes sociales;Wikis;1
¿Qué funciona como enlace para acceder a los contenidos web?;E-books;Infografías;Código QR;Apps;3
¿Qué principio está ligado a la habilidad y compromiso de los espectadores por transmitir y difundir los contenidos?;Expansión;Continuidad;Multiplicidad;Profundidad;1
¿De cuántas partes se conforma la biblia transmedia?;Cinco;Tres;Seis;Cuatro;1
Si una historia comienza en un cómic y finaliza en una web interactiva, ¿de qué tipo de transmedia hablamos?;Transmedia intracomposicionales;Transmedia intercomposicionales;Transmedia ultracomposicionales;Transmedia extracomposicionales;1
¿Qué proyecto transmedia se caracteriza por un relato basado en la ficción?;Tecnologías emergentes;Tecnologías de la Información y la Comunicación;Vasily;Serie Mad Men;4
¿Qué medios producen precuelas, secuelas y spin off?;Tv, cine, libros y cómics;Videojuegos y redes sociales;Wikis;Apps;1
¿Dónde se encuentra el target de la audiencia en la biblia transmedia?;Especificaciones de diseño;Marketing;Tratamiento;Especificaciones funcionales;2
¿Qué modelo transmedia no tiene una macrohistoria única?;Transmedia;Multiplataforma;Multimedia;Crossmedia;1
¿Qué principio señala que la narrativa se complementa con el mundo real y digital?;Subjetividad;Construcción de mundos;Serialidad;Ejecución;2
¿Cuál es un beneficio de la narrativa transmedia?;Insuficiente competencia mediática;Falta de modernización de los métodos didácticos;Favorece el recuerdo y la memoria;No promueve el uso del pensamiento y el diálogo;3
¿Cuál es una obra de Henry Jenkins?;La textualidad des-bordada: transmedia y educación en la cultura digital;Fans, piratas de textos y videojuegos;Star War: Fan Writing as Textual Poaching;Digital Storytelling: capturing lives, creating community;2
¿Cómo se pueden definir los mecanismos de motivación en el alumnado?;Optando por un rol pasivo en el aula;Ser repetitivo en el aprendizaje;Ninguna es correcta;Buscando el compromiso y la participación;4
¿Qué principio de la narrativa transmedia está relacionado con “desmenuzar una historia”?;Múltiples entregas;Inmersión vs extracción;Expansión vs profundidad;Construcción de mundos;4
¿Cuál es la situación de la producción transmedia en España?;Las producciones transmedia españolas son las más populares en el campo;Las producciones transmedia españolas son incipientes y limitadas;Las producciones transmedia españolas son un referente mundial;Las producciones transmedia españolas son ilimitadas;2
¿Cuál es el sitio web propulsado por Joe Lambert?;Storycenter;Contar historias;Naturnia;Storybird;1
¿A qué tesis nos referimos cuando la historia ofrece diferentes puntos de vista?;Universo de la historia;Madriguera de conejo;Interactividad;Reclamar la realidad;2
¿Dónde se evalúa el modelo en la creación de un proyecto transmedia?;Especificación de medios y tecnologías;Planteamiento;Planeación;Armar la historia;2
¿De cuántos principios está compuesto el manifiesto transmedia?;13;11;15;14;2
¿Cómo podemos trabajar la narrativa digital en el aula?;A través de la motivación y la interactividad;Estableciendo roles pasivos;Educando a través de las TIC;Ninguna es correcta;1
¿Cuál es el libro más famoso escrito por Carlos Scolari?;Hipermediaciones;Transmedia archaeology;Las leyes del interfaz;Narrativas Transmedia. Cuando todos los medios cuentan;4
¿Quién es conocido como “el coleccionista de mundos”?;Sebastián Mouret;Fátima Orozco;Marta Botet;Javier Ruescas;1
¿Cuál de estas afirmaciones han sido declaradas por Ingrid Kropp?;Colaborar siempre es fácil;Las historias son importantes;La interacción no tiene cabida en la historia;Cae rápido para caer peor;2
¿Cuál es la fórmula de la narrativa transmedia?;ND+NT;CPU+ND;IM+CPU;IM+ND;3
¿En qué se caracteriza el aula transmedia?;El conocimiento es construido por todos los participantes;Aula transmisiva;El papel de los estudiantes es de observador;El docente tiene un papel pasivo;1
¿Cuáles son los formatos más utilizados para la narrativa digital?;Relato digital impersonal;Etnografía;Ninguna es correcta;Storyboard;4
¿Qué es un relato digital personal?;Documentar y compartir una experiencia personal significativa;Guion gráfico a través del uso de ilustraciones;Realización de un proyecto de investigación;Diario de clase;1
¿Qué país es pionero en la investigación transmedia?;Estados Unidos;España;Canadá;Reino Unido;1
¿En qué momento es la creación de mundos y personajes?;Planteamiento;Especificación de medios y tecnologías;Planeación;Armar la historia;4
¿Qué tesis se refiere a atraer experimentadores diferentes?;Narración basada en el lugar;Quietos e inquietos;Multipago;Carácter transmedia;2
¿Quién dijo: “la escuela no se ha adaptado a la realidad digital”?;Henry Jenkins;Carlos Scolari;Manuel Castells;Joe Lambert;3
¿Qué serie española es referente como proyecto transmedia?;Amar en tiempos revueltos;Vis a vis;La verdad;El ministerio del tiempo;4
