Pregunta,Respuesta correcta,Justificación,Información del resto de opciones
¿Quién fue el precursor de la narratología?,Genette,"Según el documento (p. 6), Gérard Genette es el precursor más reconocido por formalizar los conceptos de historia, relato y narración.","• Platón: antecedente filosófico, no narratológico.
• Aristóteles: desarrolló poética, pero no narratología.
• Todorov: contribuyente, pero posterior a Genette."
"Los subgéneros como el telefilm, tv movies, teleteatro, entre otros, ¿a qué hipergénero pertenece?",Hipergénero ficcional,En la página 19 se menciona que estos subgéneros forman parte del hipergénero ficcional dentro de la clasificación televisiva.,"• Hipergénero de variedades y entretenimiento: programas en directo, concursos.
• Hipergénero docudramático: mezcla realidad y ficción, como reality shows.
• Hipergénero informativo: noticieros, reportajes, etc."
¿A qué no se ve expuesta la narrativa audiovisual con el desarrollo de los medios?,Rechazo por las teorías culturales,"En la página 15 se indica que la narrativa audiovisual ha sido ampliamente abordada por las teorías culturales, no rechazada por ellas.","• Enfoque comercial y Competitividad: consecuencia clara del contexto mediático.
• Canales masivos: medios tradicionales y digitales.
• Interpretación de la realidad: función clave de la narrativa audiovisual."
"Según las teorías de Greimas, el relato está conformado por los siguientes elementos:","Sujeto, Destinatario, Ayudante, Oponente, Destinador, Objeto",El documento (p. 13) expone el esquema actancial de Greimas con esos seis roles narrativos básicos.,"• Narrador y Enunciador: pertenecen al análisis del discurso.
• Agresor y Héroe: términos no usados en el modelo actancial.
• Donante y Mandatario: podrían asociarse, pero no son parte de los seis roles esenciales."
"Existen cinco modelos dentro del estudio de la analítica narrativa. De los 4 citados, ¿cuál no pertenece a la analítica narrativa?",Cognitivista,"En la página 11 se mencionan los cinco modelos: formalista, estructuralista, semiológico, fenomenológico y hermenéutico. El cognitivista no está incluido.","• Fenomenológico, Estructuralista, Semiológico: sí forman parte de la analítica narrativa."
"Atendiendo a la taxonomía narrativa, ¿Qué niveles de clasificaciones existe?","Interlenguajes, Intersoportes e Intergéneros",El documento (p. 8) establece claramente estos tres niveles como las divisiones de la taxonomía narrativa.,"• Las demás combinan términos correctos con otros incorrectos, o son invenciones que no aparecen en el documento."
"Con el desarrollo y evolución de las industrias culturales, los géneros audiovisuales evolucionaron en los siguientes:",Géneros cinematográficos e Hipergéneros televisivos,En la página 18 se indica que los géneros audiovisuales se han dividido en géneros cinematográficos e hipergéneros televisivos.,"• Géneros literarios o poéticos: no pertenecen al audiovisual.
• Hipergéneros narrativos y digitales: invención no referida en el documento."
¿Quién fue el pionero de los estudios y teorías de la narrativa?,Greimas,"Aunque Aristóteles es una figura clave en la poética, el documento (p. 13) señala que Greimas sistematizó los estudios narrativos modernos con el esquema actancial.","• Platón y Aristóteles: antecedentes filosóficos.
• Todorov: autor importante, pero posterior a Greimas."
¿Desde qué perspectivas se puede estudiar el relato? Marca la opción más completa o acertada.,"Morfología narrativa, Semántica y poética narrativa, Pragmática narrativa y Sintaxis narrativa",El documento (p. 10) identifica estas cuatro áreas como enfoques integrales para el análisis narrativo.,• Las demás opciones solo recogen subconjuntos de estas perspectivas o mezclan términos externos al marco teórico del documento.
¿Qué elementos no conforman la sintaxis narrativa?,Figuras retóricas,"Según el documento (p. 11), la sintaxis narrativa se refiere a aspectos técnicos como planos, ángulos, movimientos de cámara, iluminación, etc. Las figuras retóricas pertenecen a la retórica textual.","• Movimiento de cámara, iluminación, planos: sí forman parte de la sintaxis narrativa audiovisual."
